formation,holding,quantile,residualize,spread_mult,rebalance_every,tier,n_periods,avg_names,gross_sharpe,net_sharpe,gross_mean_bps,net_mean_bps,gross_ann_return,net_ann_return,avg_turnover,avg_cost_bps,mean_ic,net_max_drawdown,hit_rate
3,3,0.1,demean,0.5,3,T1_liquid,2486,19.045856798069188,-1.5243976936532526,-4.529415784952231,-9.117962508971445,-27.104494240346792,-0.6656112631549154,-1.9786280795453157,1.671724906228124,17.98653173137535,-0.008252100524747773,-0.9991948420174964,0.4420756234915527
3,3,0.1,demean,0.5,3,T2_mid,2486,18.983105390185035,0.20977340457166055,-3.8767182210233857,1.2074261523843466,-22.318570079472206,0.0881421091240573,-1.6292556158014708,1.711095569532818,23.525996231856546,-0.031841733661228715,-0.9972157026689062,0.45132743362831856
3,3,0.1,demean,0.5,3,T3_illiquid,2486,18.942880128720837,0.6667085210868418,-5.700928095541659,3.6862662483685535,-31.561208930816704,0.2690974361309044,-2.303968251949619,1.7708401246112426,35.24747517918526,-0.051247279619191094,-0.9997508616977516,0.39702333065164924
3,3,0.1,none,0.5,3,T1_liquid,2486,19.045856798069188,-1.5243976936532526,-4.529415784952231,-9.117962508971445,-27.104494240346792,-0.6656112631549154,-1.9786280795453157,1.671724906228124,17.98653173137535,-0.008252100524747773,-0.9991948420174964,0.4420756234915527
3,3,0.1,none,0.5,3,T2_mid,2486,18.983105390185035,0.20977340457166055,-3.8767182210233857,1.2074261523843466,-22.318570079472206,0.0881421091240573,-1.6292556158014708,1.711095569532818,23.525996231856546,-0.031841733661228715,-0.9972157026689062,0.45132743362831856
3,3,0.1,none,0.5,3,T3_illiquid,2486,18.942880128720837,0.6667085210868418,-5.700928095541659,3.6862662483685535,-31.561208930816704,0.2690974361309044,-2.303968251949619,1.7708401246112426,35.24747517918526,-0.051247279619191094,-0.9997508616977516,0.39702333065164924
3,3,0.2,demean,0.5,3,T1_liquid,2486,39.16492357200322,-2.153019409048377,-6.490063913464547,-8.188072793367672,-24.686705973090508,-0.59772931391584,-1.802129536035607,1.5329766372632319,16.498633179722837,-0.008252100524747773,-0.9981582933116648,0.3930008045052293
3,3,0.2,demean,0.5,3,T2_mid,2486,39.02413515687852,-0.2933951233904871,-6.238634405415085,-1.0775810015774077,-22.922499317669345,-0.07866341311515075,-1.6733424501898622,1.586786779149985,21.844918316091942,-0.031841733661228715,-0.9971318207026114,0.4022526146419952
3,3,0.2,demean,0.5,3,T3_illiquid,2486,38.9195494770716,1.0271563146449816,-8.085098613325492,3.6687324071264613,-28.909507014170817,0.2678174657202317,-2.1103940120344697,1.6346926758713571,32.578239421297276,-0.051247279619191094,-0.9993623100009221,0.333467417538214
3,3,0.2,none,0.5,3,T1_liquid,2486,39.16492357200322,-2.153019409048377,-6.490063913464547,-8.188072793367672,-24.686705973090508,-0.59772931391584,-1.802129536035607,1.5329766372632319,16.498633179722837,-0.008252100524747773,-0.9981582933116648,0.3930008045052293
3,3,0.2,none,0.5,3,T2_mid,2486,39.02413515687852,-0.2933951233904871,-6.238634405415085,-1.0775810015774077,-22.922499317669345,-0.07866341311515075,-1.6733424501898622,1.586786779149985,21.844918316091942,-0.031841733661228715,-0.9971318207026114,0.4022526146419952
3,3,0.2,none,0.5,3,T3_illiquid,2486,38.9195494770716,1.0271563146449816,-8.085098613325492,3.6687324071264613,-28.909507014170817,0.2678174657202317,-2.1103940120344697,1.6346926758713571,32.578239421297276,-0.051247279619191094,-0.9993623100009221,0.333467417538214
3,3,0.3,demean,0.5,3,T1_liquid,2486,59.05711987127916,-2.2106388531598764,-7.441310843529601,-6.360715176555667,-21.419731883908877,-0.4643322078885637,-1.563640427525348,1.3988672046436292,15.059016707353209,-0.008252100524747773,-0.9955008433473295,0.3809332260659694
3,3,0.3,demean,0.5,3,T2_mid,2486,58.71761866452132,-0.6198448906550904,-7.850095441052487,-1.7074169810476179,-21.639448378754015,-0.12464143961647611,-1.5796797316490432,1.4467559612635925,19.932031397706396,-0.031841733661228715,-0.9956153568204615,0.3656476267095736
3,3,0.3,demean,0.5,3,T3_illiquid,2486,58.50603378921963,0.7636604249246854,-9.783511195290338,2.13594025417225,-27.378406036771604,0.15592363855457428,-1.9986236406843272,1.4803749437522256,29.514346290943855,-0.051247279619191094,-0.9989898808415594,0.3020917135961384
3,3,0.3,none,0.5,3,T1_liquid,2486,59.05711987127916,-2.2106388531598764,-7.441310843529601,-6.360715176555667,-21.419731883908877,-0.4643322078885637,-1.563640427525348,1.3988672046436292,15.059016707353209,-0.008252100524747773,-0.9955008433473295,0.3809332260659694
3,3,0.3,none,0.5,3,T2_mid,2486,58.71761866452132,-0.6198448906550904,-7.850095441052487,-1.7074169810476179,-21.639448378754015,-0.12464143961647611,-1.5796797316490432,1.4467559612635925,19.932031397706396,-0.031841733661228715,-0.9956153568204615,0.3656476267095736
3,3,0.3,none,0.5,3,T3_illiquid,2486,58.50603378921963,0.7636604249246854,-9.783511195290338,2.13594025417225,-27.378406036771604,0.15592363855457428,-1.9986236406843272,1.4803749437522256,29.514346290943855,-0.051247279619191094,-0.9989898808415594,0.3020917135961384
3,6,0.1,demean,0.5,6,T1_liquid,1243,19.050683829444893,0.48375080023835837,-0.9533261100245009,6.100734061071239,-12.024635671770334,0.22267679322910022,-0.4388992020196172,1.6834773432520818,18.12536973284157,-0.01912435716768792,-0.8479345699174091,0.49477071600965405
3,6,0.1,demean,0.5,6,T2_mid,1243,18.98793242156074,2.338138793124998,0.41948452565334376,28.99157433639557,5.200671343850884,1.0581924632784383,0.18982450405055726,1.7304341832298389,23.790902992544684,-0.04179703008645556,-0.5233936899471638,0.5269509251810137
3,6,0.1,demean,0.5,6,T3_illiquid,1243,18.942880128720837,2.348963688502323,-0.6836487951758281,27.149661868460292,-7.90058421741281,0.9909626581988007,-0.2883713239355675,1.7660997110514405,35.0502460858731,-0.07104318427370142,-0.7705762677977274,0.498793242156074
3,6,0.1,none,0.5,6,T1_liquid,1243,19.050683829444893,0.48375080023835837,-0.9533261100245009,6.100734061071239,-12.024635671770334,0.22267679322910022,-0.4388992020196172,1.6834773432520818,18.12536973284157,-0.01912435716768792,-0.8479345699174091,0.49477071600965405
3,6,0.1,none,0.5,6,T2_mid,1243,18.98793242156074,2.338138793124998,0.41948452565334376,28.99157433639557,5.200671343850884,1.0581924632784383,0.18982450405055726,1.7304341832298389,23.790902992544684,-0.04179703008645556,-0.5233936899471638,0.5269509251810137
3,6,0.1,none,0.5,6,T3_illiquid,1243,18.942880128720837,2.348963688502323,-0.6836487951758281,27.149661868460292,-7.90058421741281,0.9909626581988007,-0.2883713239355675,1.7660997110514405,35.0502460858731,-0.07104318427370142,-0.7705762677977274,0.498793242156074
3,6,0.2,demean,0.5,6,T1_liquid,1243,39.17135961383749,0.07092578844236705,-1.9822842534511782,0.5686491910926881,-15.905456642074524,0.020755695474883117,-0.5805491674357202,1.5290952410698508,16.474105833167215,-0.01912435716768792,-0.8816167654739515,0.4585679806918745
3,6,0.2,demean,0.5,6,T2_mid,1243,39.02654867256637,1.5959068788700044,-1.185518812690263,12.39259556100919,-9.20419102266386,0.4523297379768354,-0.33595297232723087,1.5673442965901063,21.596786583673047,-0.04179703008645556,-0.7287581503528455,0.48431214802896216
