tier,median_adv_usd,median_names,names_per_leg,max_per_name_usd,max_book_usd,participation_rate
T1_liquid,2591552.9086903334,111.0,22,155493.17452142,6841699.67894248,0.01
T2_mid,569312.3874805556,111.0,22,34158.743248833336,1502984.7029486669,0.01
T3_illiquid,204913.64713222222,111.0,22,12294.818827933334,540972.0284290666,0.01
