A1_zscore_denominator,A2_return_mode,A4_adjustment,gdx_weight,entry_threshold,lookback,test_round_trips_per_day,test_sharpe,test_annual_arith,test_annual_cagr,test_cumulative,test_calmar,test_gross_bps_per_round_trip,test_mean_hold_bars,beats_intraday_long
var,simple,unadj,2.0,1.0,30,50.104497354497354,5.97351114571531,0.5367234783745813,0.7025926502994735,3.9355125768852393,16.95495805642023,0.4250826144100277,7.396129781673222,True
var,simple,adj,2.0,2.5,30,47.96296296296296,5.570099056635939,0.4678737751475809,0.5903212748051674,3.0221161368854697,13.218480211993324,0.3870990969229847,7.251185879757308,True
var,log,unadj,2.0,1.0,30,50.104497354497354,5.9935467083724685,0.5413414379671168,0.7103865606616873,4.003602792721797,17.250568283236422,0.4279293755781654,7.396129781673222,True
var,log,adj,2.0,0.7,30,50.716931216931215,5.4591829198134905,0.515448244597426,0.6661295119894373,3.6251547831734667,15.376860867474168,0.40235813623364813,7.416175473371238,True
std,simple,unadj,2.0,0.2,30,46.794973544973544,5.629717589266976,0.5046404360396103,0.6489715112969625,3.483730053485629,14.9662377492455,0.4279394262144418,7.393362919410917,True
std,simple,adj,2.0,0.2,30,46.866402116402114,5.411571531879342,0.4943975483099486,0.6319451632428021,3.3462698221168408,14.298450703224669,0.4186143899212119,7.384663148090655,True
std,log,unadj,2.0,0.2,30,46.794973544973544,5.652701804306094,0.5090588273025349,0.6561988912217172,3.542944892202809,15.225591265758402,0.4309337335852363,7.393362919410917,True
std,log,adj,2.0,0.2,30,46.866402116402114,5.437165278327486,0.4989011711621981,0.6392393299820649,3.4048091521240176,14.555544079699432,0.42155698726083185,7.384663148090655,True
