gdx_weight,entry_threshold,lookback,train_cumulative,train_sharpe,train_annual,train_round_trips_per_day,test_cumulative,test_sharpe,test_annual,test_round_trips_per_day
2.0,0.2,30,143.0785334415242,5.701431566985409,0.6085819158070431,52.33846153846154,3.4499935054122615,5.313813563274617,0.5025741730769616,51.554232804232804
2.0,0.3,30,145.85033155305894,5.7114800786392035,0.6109196971211908,52.09375,3.4977932424362086,5.440003267782861,0.5059966262531073,51.38227513227513
2.0,0.4,30,148.02594612217112,5.740745401696381,0.6126792411050536,51.90673076923077,3.4832582882285292,5.451954931316435,0.5048788089492782,51.232804232804234
2.0,0.5,30,147.1802285788874,5.705760696257769,0.6120479068332697,51.677403846153844,3.4768934182470312,5.471372708009263,0.5043649890485123,51.033068783068785
2.0,0.7,30,152.44167165180409,5.778352236726805,0.6162174395744149,51.26442307692308,3.5591407707663922,5.434589489735438,0.5106044854637295,50.716931216931215
2.0,1.0,30,146.31105585921392,5.82432096748239,0.6110844098498734,50.57836538461538,3.588985879594727,5.553168469870715,0.5126309359002703,50.20899470899471
2.0,1.25,30,149.3459183560946,5.980425233175589,0.6133134003475029,50.105288461538464,3.3187047625630344,5.545181089015028,0.4920390747305349,49.824074074074076
2.0,1.5,30,149.64712154833293,6.137579683376207,0.6132903383558465,49.629326923076924,3.2820931019920057,5.5785302503985355,0.48910249023855024,49.45238095238095
2.0,2.0,30,140.81757404431835,6.2416493927297925,0.6056701360957231,48.621153846153845,3.0885873195702924,5.534288374099643,0.47347864752596713,48.65873015873016
2.0,2.5,30,153.1102536452512,6.478800089067277,0.6155709904681146,47.65673076923077,3.0221161368854697,5.570099056635939,0.4678737751475809,47.96296296296296
2.5,0.2,30,88.7342914219399,5.085223464211505,0.5512576443346855,51.96153846153846,4.640687459115867,6.222406746873139,0.5816603886126684,51.83730158730159
2.5,0.3,30,88.21811827158952,5.115583780593148,0.5504712361413446,51.63990384615385,4.528641995525922,6.25207046325485,0.5748186125138577,51.633597883597886
2.5,0.4,30,89.80120613240179,5.149345780711179,0.5525752499070453,51.37019230769231,4.37052414607906,6.288801626987355,0.5649372931772357,51.423280423280424
2.5,0.5,30,83.13384518750811,5.066893255982718,0.5433094966684583,51.1125,4.412035759692865,6.275249777146008,0.5675614674927862,51.21164021164021
2.5,0.7,30,83.26682064951683,5.111460050584465,0.5434019913053115,50.603846153846156,4.546011715922569,6.34456249191712,0.5757536153043049,50.81613756613756
2.5,1.0,30,90.08256826439882,5.313899874127441,0.5525972263015666,49.86875,4.247625220220737,6.186236622764934,0.5572130173404211,50.25529100529101
2.5,1.25,30,87.6713154827464,5.390167749377901,0.5491218714189801,49.23605769230769,4.187983454226822,6.0307559839401295,0.5535487086497729,49.73148148148148
2.5,1.5,30,92.39573382800718,5.510342366423006,0.5553123415027307,48.66201923076923,3.9996999357709813,6.016881340920892,0.5410381031373128,49.24470899470899
2.5,2.0,30,84.3465818572313,5.633162001220339,0.5439566669530057,47.58701923076923,3.82202538826885,6.092185072162116,0.5286739569566531,48.423280423280424
2.5,2.5,30,84.221326422159,5.8296625951499745,0.5434621527094337,46.56105769230769,3.683123548261488,6.0191299104255025,0.5188623098570406,47.5568783068783
3.0,0.2,30,78.67991943518636,4.914390875139396,0.5369184502452754,51.26346153846154,4.115338742294406,5.739854400582752,0.5491987594936025,51.142857142857146
3.0,0.3,30,75.32853161282216,4.917302204743309,0.5315736992980076,50.92403846153846,4.017130052285654,5.720468158271281,0.5426446063638536,50.87433862433863
3.0,0.4,30,69.40483783896471,4.838880700161188,0.5217373179886808,50.667307692307695,4.0158854862466296,5.696137505672685,0.5425940992816061,50.61772486772487
3.0,0.5,30,69.61150651312248,4.849194958279327,0.5220766996507094,50.37307692307692,4.018769471421927,5.722087409085913,0.5427452427626718,50.407407407407405
3.0,0.7,30,67.37030183078559,4.9009331988691445,0.5179477868510994,49.75576923076923,3.9685695956289813,5.82749431453837,0.539173310570563,49.96296296296296
3.0,1.0,30,66.15648604548623,4.994840143035827,0.5155149232716455,48.948076923076925,3.703664152080851,5.697419008878804,0.5207709597526375,49.3068783068783
3.0,1.25,30,67.06111247966105,5.058839414085806,0.5170367212879462,48.30336538461538,3.422575335523656,5.658472060738458,0.4999249493943401,48.78968253968254
3.0,1.5,30,68.76944917252702,5.207325819304071,0.5198065105522931,47.67932692307692,3.453398636826485,5.6985575977727425,0.5022217748600395,48.2962962962963
3.0,2.0,30,68.40966164824715,5.446083985289057,0.5187350081079602,46.30048076923077,3.1399475854724086,5.650085640815574,0.47754449131176907,47.42063492063492
3.0,2.5,30,61.023178082024856,5.480979888390125,0.5047822000856439,45.02211538461538,3.0672901769919285,5.866646930444924,0.47129487189417596,46.2473544973545
3.5,0.2,30,44.11309839480533,4.315327669871343,0.46777060552739075,50.59182692307692,3.2184618157075082,5.3290491190026765,0.48437273514171275,50.60978835978836
3.5,0.3,30,44.36489157150517,4.363915368747272,0.4683309443481334,50.21201923076923,3.194104224998169,5.37601096768932,0.48233477098547817,50.28968253968254
3.5,0.4,30,44.859771769591724,4.404619845314302,0.46956918536466163,49.86201923076923,3.175892221062089,5.3646066877302285,0.48087430760562305,50.0568783068783
3.5,0.5,30,47.608928669950586,4.482205061335841,0.4766034253859741,49.488942307692305,3.1945064216946433,5.305234529944037,0.4824730077929983,49.77248677248677
3.5,0.7,30,50.997900917353846,4.607926692523399,0.4846641260271386,48.78125,3.276649974897749,5.500690251903893,0.4887587638145321,49.21957671957672
