gdx_weight,entry_threshold,lookback,train_cumulative,train_sharpe,train_annual,train_round_trips_per_day,test_cumulative,test_sharpe,test_annual,test_round_trips_per_day
2.0,0.2,30,117.88599379068371,5.747683340720639,0.584722139367301,47.49807692307692,3.3462698221168408,5.411571531879342,0.4943975483099486,46.866402116402114
2.0,0.3,30,115.29289178666522,5.887092664519071,0.5817514204852856,44.99038461538461,3.1079320877274466,5.289379244323676,0.47542612441407706,44.30952380952381
2.0,0.4,30,104.20800129288078,5.965327462749843,0.5692556458243259,42.582692307692305,2.8297385520167544,5.203969326335923,0.4517410314977017,42.01322751322751
2.0,0.5,30,101.56229969869011,6.1931566104741345,0.5657842583218771,40.21346153846154,2.704134550898058,5.297959943284774,0.4402955564770046,39.80555555555556
2.0,0.7,30,77.99154318635978,6.242362669729583,0.533560028484337,35.496634615384615,2.3835133825344297,5.4265710807623835,0.40946273069854294,34.77910052910053
2.0,1.0,30,43.25697339665082,6.249755808422572,0.46232304087548975,28.08221153846154,1.9957086878359638,5.533556477301166,0.368194175168526,27.615079365079364
2.0,1.25,30,20.922433553609153,5.745922602729617,0.3764844486971304,21.775480769230768,1.5796907004327627,5.2897522070499,0.3178812763371601,21.38095238095238
2.0,1.5,30,8.300777186387162,5.124059942370863,0.2717340483257349,15.36298076923077,1.016401635724029,4.7786482518795195,0.23508280348112287,15.10846560846561
2.0,2.0,30,1.2228569816883375,2.7702514302614634,0.09741366173457461,5.157211538461539,0.2444959157694333,2.503272480974764,0.07334930808399383,4.945767195767195
2.0,2.5,30,0.36428645132782767,1.9099635682666016,0.03783299000312755,1.2413461538461539,0.1418859526441958,2.9197476995585747,0.044346000409539475,1.2076719576719577
2.5,0.2,30,82.22538155003686,5.246719331299631,0.5415674382834218,47.30384615384615,4.243095461934952,6.127321461067948,0.557005942663622,47.0568783068783
2.5,0.3,30,76.62978677352119,5.415405194746293,0.5326263683059302,44.82211538461539,3.4482558428278534,5.749512988329466,0.5017751968985273,44.49603174603175
2.5,0.4,30,67.95557227603618,5.4155300560975785,0.5179793553028841,42.372115384615384,3.23702356165136,5.774181359689939,0.48525104490996873,42.2989417989418
2.5,0.5,30,66.92252607672955,5.632016343818066,0.5157697564394595,39.972596153846155,2.95101375446307,5.663770006754908,0.4617008750732339,39.82142857142857
2.5,0.7,30,60.337058722094994,5.868139065502812,0.5028681457552366,35.25576923076923,2.55479408170891,5.523476067718256,0.42607045806006844,35.101851851851855
2.5,1.0,30,38.835460885743494,6.0789748227447715,0.4495425455116385,28.014423076923077,2.0869992297379967,5.023140529035419,0.37882136458139376,27.955026455026456
2.5,1.25,30,18.61809305960849,5.576301398284171,0.3629803825493562,21.703365384615385,1.6243520160172746,4.867671450326603,0.3240033610603016,21.752645502645503
2.5,1.5,30,7.559089164743325,4.879821800591868,0.26168612204135344,15.283653846153847,1.0772134371262196,4.6955687814297145,0.2451462969612889,15.164021164021165
2.5,2.0,30,1.3993893944901177,3.232603344767359,0.1066010548043564,5.130288461538462,0.3218358493847726,3.3455105132614635,0.09341322942378882,4.76984126984127
2.5,2.5,30,0.2775371655730776,1.6226559200067392,0.029845323346138285,1.1783653846153845,0.11716605707133998,2.576451785765094,0.03703751963354296,1.1150793650793651
3.0,0.2,30,60.07473325950324,4.856025603895836,0.504052968074697,46.801923076923075,3.6824020757973717,5.748145256481999,0.5191662403151789,46.54100529100529
3.0,0.3,30,55.80768005999622,4.9012509075134885,0.49497382104566306,44.41490384615385,3.459814325651644,5.693826690738822,0.5027183823755499,44.24338624338624
3.0,0.4,30,55.5991560919287,5.091651116491099,0.4941373125473223,41.94663461538462,3.252396402648591,5.779670807005871,0.48646344863790086,41.90608465608466
3.0,0.5,30,53.08983616707176,5.148808566486142,0.4884257562779498,39.47596153846154,2.9117760214389437,5.440114617302896,0.45858827387210077,39.61507936507937
3.0,0.7,30,43.930157624088395,5.47558488980226,0.46501805287932374,34.77548076923077,2.835365553771482,5.653043128154433,0.4516410786731114,35.051587301587304
3.0,1.0,30,29.512816481498575,5.713540104112206,0.41711717618914956,27.708653846153847,1.856849539282504,5.006584772790546,0.3525967994521958,27.824074074074073
3.0,1.25,30,14.666822126858731,5.264956236280342,0.3356065701115455,21.439903846153847,1.6556198019231774,5.192039295468523,0.3277362762460303,21.497354497354497
3.0,1.5,30,6.559531091016228,4.706777345385062,0.24655982650879602,15.072596153846154,1.1352871708037058,5.030866336740714,0.25426044492620925,15.21957671957672
3.0,2.0,30,1.1774973351936975,3.0039327045459023,0.094793667924564,5.1283653846153845,0.3336120880593221,3.163064107031549,0.09644469829311755,4.76984126984127
3.0,2.5,30,0.19482048785827732,1.204064264291609,0.02172850318221428,1.1860576923076922,0.10860818051033383,2.358346836777433,0.03447739800077502,1.08994708994709
3.5,0.2,30,53.106502991548076,4.712456040592259,0.48935235430069435,46.229326923076925,3.13657220481201,5.4553493936309,0.4775291173861958,46.02513227513227
3.5,0.3,30,52.084695750308086,4.86583426036641,0.48664774006509326,43.80528846153846,3.2437427056898374,5.55894471752027,0.48605485022534783,43.595238095238095
3.5,0.4,30,41.72242511149743,4.768025588032997,0.4599441240424664,41.45240384615385,2.972904368337709,5.462347169499926,0.46381601647056675,41.32539682539682
3.5,0.5,30,38.00315950866313,4.787658832710852,0.44862856578581123,39.06394230769231,2.831681333488274,5.2659794843144505,0.4518004832323911,39.06878306878307
3.5,0.7,30,37.41433585685938,5.180296990177344,0.44610313468196505,34.38028846153846,2.551674604102434,5.437809729384452,0.42585684339593505,34.695767195767196
3.5,1.0,30,27.81428468431818,5.512909243351296,0.41026928596017315,27.30625,1.6300079411593709,4.6128724713953195,0.32498349700235624,27.496031746031747
3.5,1.25,30,13.364136001503033,5.037455935106373,0.32512669571253805,21.067307692307693,1.4363798369156018,5.045407193046748,0.29874776181511387,21.334656084656086
3.5,1.5,30,6.193931937618882,4.464631547135453,0.2406281092920951,14.836538461538462,0.9426269726903429,4.565665447321436,0.22262519152840443,15.02116402116402
3.5,2.0,30,0.9664832237376606,2.618186124071406,0.0824379097359449,5.054326923076923,0.2560376552185042,2.4600625776796536,0.0764784301825668,4.796296296296297
3.5,2.5,30,0.11735951666748434,0.7741207873785158,0.013598760986608428,1.1947115384615385,0.11171846033789046,2.0771213880877646,0.035449855461655945,1.0476190476190477
4.0,0.2,30,40.857568191986914,4.43841304348285,0.4581324199215581,45.603846153846156,2.674524114310068,5.069939156893132,0.43787733091514075,45.71957671957672
4.0,0.3,30,34.45389726498572,4.395689997153838,0.4376114477864816,43.21298076923077,2.581299940714003,4.890958439819138,0.4294116486318131,43.17857142857143
4.0,0.4,30,32.82163171566556,4.497855231219727,0.4315405553446313,40.88221153846154,2.3290619363153873,4.766211931657359,0.4047815437136778,41.06878306878307
4.0,0.5,30,31.916404949169113,4.604163107028425,0.42796654244012633,38.56346153846154,2.3766271310404545,4.939415694670797,0.409345970453189,38.59391534391534
