gdx_weight,entry_threshold,lookback,train_cumulative,train_sharpe,train_annual,train_round_trips_per_day,test_cumulative,test_sharpe,test_annual,test_round_trips_per_day
2.0,0.2,30,98.86292922038643,5.562952534796022,0.563501741400902,47.270673076923075,3.542944892202809,5.652701804306094,0.5090588273025349,46.794973544973544
2.0,0.3,30,85.12648532264556,5.542062142458321,0.545243054666281,44.79038461538462,3.1931375683466436,5.513319833207966,0.4820651956244679,44.34656084656085
2.0,0.4,30,80.1828682671495,5.651942167167954,0.537750874317538,42.52355769230769,3.0967665977080845,5.436804103794313,0.474281411630212,42.05555555555556
2.0,0.5,30,79.11442745315455,5.845765678081391,0.5358192462039084,40.03990384615385,2.9078796546846495,5.418130826668876,0.4582922097390532,39.78042328042328
2.0,0.7,30,70.19256596674853,6.060077277980901,0.5209810350235846,35.270192307692305,2.5309906671045335,5.626210103293752,0.4236939980280643,35.08201058201058
2.0,1.0,30,43.1227848089308,6.168220242059644,0.4620209114354664,28.016346153846154,2.0632267622850917,5.5279965132888105,0.3757256977616585,27.843915343915345
2.0,1.25,30,21.089808559955898,5.862436918392481,0.37733172546051735,21.776923076923076,1.706171675412742,5.115171012474542,0.33417639134855015,21.644179894179896
2.0,1.5,30,7.5833095123491585,4.909228348352769,0.2620153835572989,15.23798076923077,1.0517852234541816,4.514021441402825,0.24109734168027225,15.187830687830688
2.0,2.0,30,1.3971945718642687,3.2474478391734434,0.10648413427053176,5.16875,0.2424124088664692,2.6065517777028697,0.07275086592203524,4.866402116402116
2.0,2.5,30,0.33420835830171913,1.8665270204069209,0.03511239866592493,1.1951923076923077,0.11852627687170902,2.5367696660973693,0.037448833210659414,1.1759259259259258
2.5,0.2,30,71.05332822162374,5.041663635007439,0.5241397762157157,46.96778846153846,3.782870947631725,5.890721538900658,0.5261773149738914,46.84920634920635
2.5,0.3,30,59.89807468600158,5.029838059285595,0.5033222493955818,44.44663461538462,3.4227690068421195,5.79505002848077,0.49976089300723475,44.42724867724868
2.5,0.4,30,58.37424904720934,5.178919300371868,0.49990042602824725,42.04615384615385,3.4319921670581293,5.9164903534712545,0.5003162390014566,42.25132275132275
2.5,0.5,30,56.935999386656036,5.23217735360191,0.49677134199458767,39.605288461538464,3.20662443343579,5.771051082883878,0.4828064970178425,39.83201058201058
2.5,0.7,30,50.83057843527223,5.611223947619725,0.4824477080770543,34.84326923076923,2.7628610997383425,5.350148585394622,0.44553276948408344,35.11904761904762
2.5,1.0,30,33.234964373014435,5.852684513090867,0.4311330184951201,27.751923076923077,2.2641931672186506,5.444064724743657,0.39727516368809024,28.013227513227513
2.5,1.25,30,15.944455558327117,5.409477944109915,0.3451206205786499,21.535096153846155,1.678409387359166,5.29369866083903,0.33055090188630504,21.724867724867725
2.5,1.5,30,7.128034231671188,4.79347808955547,0.2553999384316381,15.120673076923078,1.0861074757333848,4.91618503533933,0.24646645825549637,15.146825396825397
2.5,2.0,30,1.4381301167399698,3.4133950853392196,0.10850348080460961,5.134615384615385,0.3638568244731162,3.6057534252315575,0.10387347389301196,4.728835978835979
2.5,2.5,30,0.18676997979269172,1.1417069739186565,0.02091433968400236,1.1899038461538463,0.11593348657318137,2.5458294119204283,0.03666988889113876,1.0952380952380953
3.0,0.2,30,59.31796913427541,4.810252375726062,0.5026089916882182,46.302403846153844,3.336358235384073,5.581759751294076,0.49335889868875726,46.25132275132275
3.0,0.3,30,53.484717868885475,4.855028557811528,0.48989511704710276,43.88461538461539,3.3491381413498083,5.5910064795225125,0.49433831571585435,43.81613756613756
3.0,0.4,30,44.51422854265029,4.815208747675321,0.46768954866512913,41.57115384615385,3.2092495865840958,5.505186706500661,0.48335591195015226,41.53439153439153
3.0,0.5,30,40.69471917119648,4.876687113554862,0.45672255786392035,39.13173076923077,3.0463238503216843,5.451799599164755,0.47003304055067785,39.37566137566137
3.0,0.7,30,43.09657110604554,5.400547138596874,0.4628090128737768,34.40576923076923,2.7007545624019795,5.472390355002988,0.4397363749745753,34.91005291005291
3.0,1.0,30,28.84095536875581,5.5435464563010735,0.4145442710657713,27.402403846153845,1.92240577642262,4.877492804153077,0.3604067041915119,27.682539682539684
3.0,1.25,30,13.650012275014623,5.094881598276101,0.32750038931781905,21.14855769230769,1.6487103644657184,5.300822784174822,0.32677588067674596,21.443121693121693
3.0,1.5,30,6.269638089771965,4.486707283499671,0.24189826762019903,14.908173076923077,1.075176857404513,4.919381852103855,0.2446927814070261,15.06084656084656
3.0,2.0,30,1.0304087005865372,2.7632291575193118,0.08630709439521032,5.058653846153846,0.2696061539925909,2.483280686263347,0.08009778900577771,4.7936507936507935
