tier,median_adv_usd,median_names,names_per_leg,max_per_name_usd,max_book_usd,participation_rate
T1_liquid,3460674.287779494,104.0,20,207640.45726676963,8305618.290670785,0.01
T2_mid,776670.4016201027,104.0,20,46600.22409720616,1864008.9638882466,0.01
T3_illiquid,267410.6247887014,103.0,20,16044.637487322087,641785.4994928834,0.01
